"tconst"	"titleType"	"primaryTitle"	"originalTitle"	"isAdult"	"startYear"	"endYear"	"runtimeMinutes"	"genres"	"averageRating"	"numVotes"
"9836"	"tt0009968"	"movie"	"Broken Blossoms"	"Broken Blossoms or The Yellow Man and the Girl"	0	1919	"\N"	"90"	"Drama,Romance"	7.6	8487
"9907"	"tt0010040"	"movie"	"Daddy-Long-Legs"	"Daddy-Long-Legs"	0	1919	"\N"	"85"	"Comedy,Drama"	7.4	1269
"9938"	"tt0010071"	"movie"	"Don't Change Your Husband"	"Don't Change Your Husband"	0	1919	"\N"	"71"	"Comedy"	7.7	1080
"10113"	"tt0010247"	"movie"	"Sir Arne's Treasure"	"Herr Arnes pengar"	0	1919	"\N"	"122"	"Drama,History"	7.1	1064
"10147"	"tt0010281"	"movie"	"I Don't Want to Be a Man"	"Ich möchte kein Mann sein"	0	1918	"\N"	"45"	"Comedy,Romance"	7	1105
"10173"	"tt0010307"	"movie"	"J'accuse!"	"J'accuse"	0	1919	"\N"	"166"	"Drama,Horror,War"	7.4	1219
"10189"	"tt0010323"	"movie"	"The Cabinet of Dr. Caligari"	"Das Cabinet des Dr. Caligari"	0	1920	"\N"	"76"	"Fantasy,Horror,Mystery"	8.1	49363
"10282"	"tt0010418"	"movie"	"Male and Female"	"Male and Female"	0	1919	"\N"	"116"	"Adventure,Drama"	7.8	1634
"10462"	"tt0010600"	"movie"	"The Doll"	"Die Puppe"	0	1919	"\N"	"48"	"Comedy,Fantasy"	7.3	1474
"10661"	"tt0010806"	"movie"	"True Heart Susie"	"True Heart Susie"	0	1919	"\N"	"87"	"Comedy,Drama,Romance"	7.2	1468
"10852"	"tt0011000"	"movie"	"Leaves From Satan's Book"	"Blade af Satans bog"	0	1920	"\N"	"167"	"Drama"	6.8	1004
"10980"	"tt0011130"	"movie"	"Dr. Jekyll and Mr. Hyde"	"Dr. Jekyll and Mr. Hyde"	0	1920	"\N"	"82"	"Drama,Horror,Sci-Fi"	7	4293
"11084"	"tt0011237"	"movie"	"The Golem"	"Der Golem, wie er in die Welt kam"	0	1920	"\N"	"91"	"Fantasy,Horror"	7.2	5694
"11233"	"tt0011387"	"movie"	"The Last of the Mohicans"	"The Last of the Mohicans"	0	1920	"\N"	"73"	"Action,Adventure,Drama"	6.9	1008
"11283"	"tt0011439"	"movie"	"The Mark of Zorro"	"The Mark of Zorro"	0	1920	"\N"	"107"	"Adventure,Romance,Western"	7.2	1968
"11409"	"tt0011565"	"movie"	"The Penalty"	"The Penalty"	0	1920	"\N"	"90"	"Crime,Drama,Horror"	7.5	1819
"11495"	"tt0011652"	"movie"	"The Saphead"	"The Saphead"	0	1920	"\N"	"77"	"Comedy"	6.2	1296
"11680"	"tt0011841"	"movie"	"Way Down East"	"Way Down East"	0	1920	"\N"	"145"	"Drama,Romance"	7.8	4572
"11704"	"tt0011865"	"movie"	"Why Change Your Wife?"	"Why Change Your Wife?"	0	1920	"\N"	"90"	"Comedy,Drama"	7.8	1275
"11708"	"tt0011870"	"movie"	"Within Our Gates"	"Within Our Gates"	0	1920	"\N"	"79"	"Drama,Romance"	6.4	1929
"11747"	"tt0011909"	"movie"	"The Affairs of Anatol"	"The Affairs of Anatol"	0	1921	"\N"	"117"	"Comedy,Drama"	7.8	1177
"12023"	"tt0012190"	"movie"	"The Four Horsemen of the Apocalypse"	"The Four Horsemen of the Apocalypse"	0	1921	"\N"	"150"	"Drama,Romance,War"	7.8	2879
"12180"	"tt0012349"	"movie"	"The Kid"	"The Kid"	0	1921	"\N"	"68"	"Comedy,Drama,Family"	8.3	94959
"12194"	"tt0012364"	"movie"	"The Phantom Carriage"	"Körkarlen"	0	1921	"\N"	"100"	"Drama,Fantasy,Horror"	8.1	8780
"12321"	"tt0012494"	"movie"	"Destiny"	"Der müde Tod"	0	1921	"\N"	"97"	"Drama,Fantasy,Thriller"	7.7	4491
"12359"	"tt0012532"	"movie"	"Orphans of the Storm"	"Orphans of the Storm"	0	1921	"\N"	"150"	"Drama,History,Romance"	7.8	4367
"12476"	"tt0012651"	"movie"	"The Haunted Castle"	"Schloß Vogelöd"	0	1921	"\N"	"75"	"Crime,Drama,Horror"	6.3	1205
"12500"	"tt0012675"	"movie"	"The Sheik"	"The Sheik"	0	1921	"\N"	"86"	"Adventure,Drama,Romance"	7.1	2887
"12585"	"tt0012763"	"movie"	"Tol'able David"	"Tol'able David"	0	1921	"\N"	"99"	"Drama"	7.8	1657
"12757"	"tt0012938"	"movie"	"Beyond the Rocks"	"Beyond the Rocks"	0	1922	"\N"	"80"	"Drama,Romance"	7.6	2161
"12771"	"tt0012952"	"movie"	"Blood and Sand"	"Blood and Sand"	0	1922	"\N"	"80"	"Drama,Romance,Sport"	7.2	1158
"12893"	"tt0013075"	"movie"	"Dr. Jack"	"Dr. Jack"	0	1922	"\N"	"59"	"Comedy"	7.1	1105
"12904"	"tt0013086"	"movie"	"Dr. Mabuse the Gambler"	"Dr. Mabuse, der Spieler"	0	1922	"\N"	"242"	"Crime,Mystery,Thriller"	7.9	6496
"12957"	"tt0013140"	"movie"	"Foolish Wives"	"Foolish Wives"	0	1922	"\N"	"117"	"Drama,Thriller"	7.2	2643
"13016"	"tt0013201"	"movie"	"Grandma's Boy"	"Grandma's Boy"	0	1922	"\N"	"60"	"Comedy,Family"	7.1	1499
"13071"	"tt0013257"	"movie"	"Häxan"	"Häxan"	0	1922	"\N"	"91"	"Documentary,Fantasy,Horror"	7.7	10044
"13237"	"tt0013427"	"movie"	"Nanook of the North"	"Nanook of the North"	0	1922	"\N"	"78"	"Documentary"	7.7	9595
"13252"	"tt0013442"	"movie"	"Nosferatu"	"Nosferatu, eine Symphonie des Grauens"	0	1922	"\N"	"94"	"Fantasy,Horror"	8	80176
"13304"	"tt0013496"	"movie"	"Phantom"	"Phantom"	0	1922	"\N"	"125"	"Drama,Fantasy,Romance"	7	1371
"13361"	"tt0013556"	"movie"	"Robin Hood"	"Robin Hood"	0	1922	"\N"	"143"	"Adventure,Family,Romance"	7.5	1841
"13430"	"tt0013626"	"movie"	"The Smiling Madame Beudet"	"La souriante Madame Beudet"	0	1923	"\N"	"54"	"Drama"	6.8	1766
"13826"	"tt0014029"	"movie"	"The Extra Girl"	"The Extra Girl"	0	1923	"\N"	"68"	"Comedy,Romance"	7.7	1001
"13938"	"tt0014142"	"movie"	"The Hunchback of Notre Dame"	"The Hunchback of Notre Dame"	0	1923	"\N"	"133"	"Drama,Horror,Romance"	7.3	4247
"14129"	"tt0014341"	"movie"	"Our Hospitality"	"Our Hospitality"	0	1923	"\N"	"65"	"Comedy,Romance,Thriller"	7.9	9070
"14145"	"tt0014358"	"movie"	"The Pilgrim"	"The Pilgrim"	0	1923	"\N"	"47"	"Comedy"	7.4	3712
"14203"	"tt0014417"	"movie"	"The Wheel"	"La roue"	0	1923	"\N"	"273"	"Drama"	7.6	1555
"14215"	"tt0014429"	"movie"	"Safety Last!"	"Safety Last!"	0	1923	"\N"	"70"	"Comedy,Thriller"	8.2	16161
"14314"	"tt0014532"	"movie"	"The Ten Commandments"	"The Ten Commandments"	0	1923	"\N"	"136"	"Biography,Drama,Fantasy"	7	1687
"14319"	"tt0014538"	"movie"	"Three Ages"	"Three Ages"	0	1923	"\N"	"63"	"Comedy"	7.1	3618
"14365"	"tt0014586"	"movie"	"Waxworks"	"Das Wachsfigurenkabinett"	0	1924	"\N"	"65"	"Fantasy,Horror"	6.8	1445
"14390"	"tt0014611"	"movie"	"Why Worry?"	"Why Worry?"	0	1923	"\N"	"63"	"Adventure,Comedy,Family"	7.4	1426
"14403"	"tt0014624"	"movie"	"A Woman of Paris: A Drama of Fate"	"A Woman of Paris: A Drama of Fate"	0	1923	"\N"	"82"	"Drama,Romance"	7.1	4282
"14425"	"tt0014646"	"movie"	"Aelita: Queen of Mars"	"Aelita"	0	1924	"\N"	"111"	"Adventure,Drama,Fantasy"	6.6	2109
"14722"	"tt0014945"	"movie"	"Girl Shy"	"Girl Shy"	0	1924	"\N"	"87"	"Comedy,Romance"	7.9	2836
"14749"	"tt0014972"	"movie"	"He Who Gets Slapped"	"He Who Gets Slapped"	0	1924	"\N"	"95"	"Drama,Romance,Thriller"	7.9	2674
"14779"	"tt0015002"	"movie"	"Hot Water"	"Hot Water"	0	1924	"\N"	"60"	"Comedy"	7.3	1133
"14793"	"tt0015016"	"movie"	"The Iron Horse"	"The Iron Horse"	0	1924	"\N"	"150"	"History,Romance,Western"	7.3	1711
"14841"	"tt0015064"	"movie"	"The Last Laugh"	"Der letzte Mann"	0	1924	"\N"	"77"	"Drama"	8.1	10989
"14912"	"tt0015136"	"movie"	"Michael"	"Michael"	0	1924	"\N"	"93"	"Drama,Romance"	7.3	1397
"14938"	"tt0015163"	"movie"	"The Navigator"	"The Navigator"	0	1924	"\N"	"59"	"Action,Comedy,Romance"	7.9	8088
"14949"	"tt0015174"	"movie"	"Die Nibelungen: Kriemhild's Revenge"	"Die Nibelungen: Kriemhilds Rache"	0	1924	"\N"	"129"	"Adventure,Drama,Fantasy"	7.9	3483
"14950"	"tt0015175"	"movie"	"Die Nibelungen: Siegfried"	"Die Nibelungen: Siegfried"	0	1924	"\N"	"143"	"Adventure,Drama,Fantasy"	8.1	4597
"14976"	"tt0015202"	"movie"	"The Hands of Orlac"	"Orlacs Hände"	0	1924	"\N"	"92"	"Crime,Horror,Mystery"	7.1	1885
"15098"	"tt0015324"	"movie"	"Sherlock Jr."	"Sherlock Jr."	0	1924	"\N"	"45"	"Action,Comedy,Romance"	8.2	32533
"15135"	"tt0015361"	"movie"	"Strike"	"Stachka"	0	1925	"\N"	"82"	"Drama"	7.6	6204
"15174"	"tt0015400"	"movie"	"The Thief of Bagdad"	"The Thief of Bagdad"	0	1924	"\N"	"155"	"Adventure,Family,Fantasy"	7.8	4924
"15305"	"tt0015532"	"movie"	"The Adventures of Prince Achmed"	"Die Abenteuer des Prinzen Achmed"	0	1926	"\N"	"81"	"Adventure,Animation,Fantasy"	7.8	4659
"15397"	"tt0015624"	"movie"	"The Big Parade"	"The Big Parade"	0	1925	"\N"	"151"	"Drama,Romance,War"	8.2	5681
"15421"	"tt0015648"	"movie"	"Battleship Potemkin"	"Bronenosets Potemkin"	0	1925	"\N"	"75"	"Drama,History"	8	47841
"15539"	"tt0015768"	"movie"	"Master of the House"	"Du skal ære din hustru"	0	1925	"\N"	"111"	"Drama"	7.2	1483
"15543"	"tt0015772"	"movie"	"The Eagle"	"The Eagle"	0	1925	"\N"	"73"	"Action,Comedy,Drama"	7.2	1534
"15612"	"tt0015841"	"movie"	"The Freshman"	"The Freshman"	0	1925	"\N"	"76"	"Comedy,Family,Romance"	7.6	4489
"15613"	"tt0015842"	"movie"	"The Joyless Street"	"Die freudlose Gasse"	0	1925	"\N"	"125"	"Drama"	7.4	1253
"15634"	"tt0015863"	"movie"	"Go West"	"Go West"	0	1925	"\N"	"68"	"Comedy,Western"	7.2	3372
"15635"	"tt0015864"	"movie"	"The Gold Rush"	"The Gold Rush"	0	1925	"\N"	"95"	"Adventure,Comedy,Drama"	8.2	88758
"15652"	"tt0015881"	"movie"	"Greed"	"Greed"	0	1924	"\N"	"140"	"Drama,Thriller,Western"	7.9	8216
"15798"	"tt0016029"	"movie"	"The Little Colonel"	"The Little Colonel"	0	1935	"\N"	"81"	"Comedy,Family,Musical"	7.1	1216
"15808"	"tt0016039"	"movie"	"The Lost World"	"The Lost World"	0	1925	"\N"	"106"	"Adventure,Fantasy,Sci-Fi"	7.1	4160
"15872"	"tt0016104"	"movie"	"The Merry Widow"	"The Merry Widow"	0	1925	"\N"	"137"	"Drama,Romance"	8	2010
"15985"	"tt0016220"	"movie"	"The Phantom of the Opera"	"The Phantom of the Opera"	0	1925	"\N"	"93"	"Horror"	7.7	14894
"15995"	"tt0016230"	"movie"	"The Pleasure Garden"	"The Pleasure Garden"	0	1925	"\N"	"75"	"Drama,Romance"	6	1877
"16095"	"tt0016332"	"movie"	"Seven Chances"	"Seven Chances"	0	1925	"\N"	"56"	"Comedy,Romance"	8	8056
"16235"	"tt0016473"	"movie"	"The Unholy Three"	"The Unholy Three"	0	1925	"\N"	"86"	"Crime,Drama,Romance"	7.3	1503
"16306"	"tt0016544"	"movie"	"The Wizard of Oz"	"The Wizard of Oz"	0	1925	"\N"	"81"	"Adventure,Comedy,Family"	5.1	1332
"16390"	"tt0016630"	"movie"	"Battling Butler"	"Battling Butler"	0	1926	"\N"	"77"	"Comedy"	7.1	2341
"16401"	"tt0016641"	"movie"	"Ben-Hur: A Tale of the Christ"	"Ben-Hur: A Tale of the Christ"	0	1925	"\N"	"143"	"Adventure,Drama,Romance"	8	6789
"16414"	"tt0016654"	"movie"	"The Black Pirate"	"The Black Pirate"	0	1926	"\N"	"88"	"Action,Adventure"	7.1	1519
"16429"	"tt0016669"	"movie"	"La Bohème"	"La Bohème"	0	1926	"\N"	"95"	"Drama,Romance"	7.8	1352
"16450"	"tt0016690"	"movie"	"Brown of Harvard"	"Brown of Harvard"	0	1926	"\N"	"85"	"Drama,Romance"	8.2	1352
"16607"	"tt0016847"	"movie"	"Faust"	"Faust: Eine deutsche Volkssage"	0	1926	"\N"	"107"	"Drama,Fantasy,Horror"	8.1	12526
"16644"	"tt0016884"	"movie"	"Flesh and the Devil"	"Flesh and the Devil"	0	1926	"\N"	"112"	"Drama,Romance"	8	3688
"16655"	"tt0016895"	"movie"	"For Heaven's Sake"	"For Heaven's Sake"	0	1926	"\N"	"58"	"Action,Comedy,Romance"	7.5	1283
"16808"	"tt0017048"	"movie"	"A Page of Madness"	"Kurutta ippêji"	0	1926	"\N"	"70"	"Drama,Horror"	7.6	2264
"16835"	"tt0017075"	"movie"	"The Lodger: A Story of the London Fog"	"The Lodger: A Story of the London Fog"	0	1927	"\N"	"68"	"Crime,Drama,Mystery"	7.3	8908
"16888"	"tt0017128"	"movie"	"Mother"	"Mat"	0	1926	"\N"	"89"	"Drama"	7.6	2181
"16896"	"tt0017136"	"movie"	"Metropolis"	"Metropolis"	0	1927	"\N"	"153"	"Drama,Sci-Fi"	8.3	141577
"17107"	"tt0017350"	"movie"	"The Scarlet Letter"	"The Scarlet Letter"	0	1926	"\N"	"115"	"Drama"	7.8	1391
"17172"	"tt0017416"	"movie"	"The Son of the Sheik"	"The Son of the Sheik"	0	1926	"\N"	"68"	"Adventure,Drama,Romance"	7.3	1658
"17179"	"tt0017423"	"movie"	"Sparrows"	"Sparrows"	0	1926	"\N"	"110"	"Drama"	7.4	1089
"17204"	"tt0017448"	"movie"	"Tartuffe"	"Herr Tartüff"	0	1925	"\N"	"74"	"Drama"	7.3	1700
"17289"	"tt0017534"	"movie"	"West Point"	"West Point"	0	1927	"\N"	"95"	"Drama,Romance,Sport"	7.7	1653
"17423"	"tt0017668"	"movie"	"Berlin: Symphony of a Great City"	"Berlin: Die Sinfonie der Grosstadt"	0	1927	"\N"	"65"	"Documentary"	7.7	3441
"17493"	"tt0017739"	"movie"	"The Cat and the Canary"	"The Cat and the Canary"	0	1927	"\N"	"108"	"Comedy,Horror,Mystery"	7.2	2421
"17519"	"tt0017765"	"movie"	"College"	"College"	0	1927	"\N"	"66"	"Comedy,Drama,Sport"	7.1	3920
"17579"	"tt0017825"	"movie"	"When Boys Leave Home"	"Downhill"	0	1927	"\N"	"80"	"Adventure,Drama,Thriller"	6.2	1825
"17597"	"tt0017843"	"movie"	"Easy Virtue"	"Easy Virtue"	0	1928	"\N"	"80"	"Romance,Thriller"	5.7	2290
"17678"	"tt0017925"	"movie"	"The General"	"The General"	0	1926	"\N"	"67"	"Action,Adventure,Comedy"	8.2	71173
"17783"	"tt0018033"	"movie"	"It"	"It"	0	1927	"\N"	"72"	"Comedy,Romance"	7.4	2698
"17787"	"tt0018037"	"movie"	"The Jazz Singer"	"The Jazz Singer"	0	1927	"\N"	"88"	"Drama,Music,Musical"	6.7	8145
"17801"	"tt0018051"	"movie"	"The Kid Brother"	"The Kid Brother"	0	1927	"\N"	"82"	"Comedy,Drama,Family"	7.6	3319
"17804"	"tt0018054"	"movie"	"The King of Kings"	"The King of Kings"	0	1927	"\N"	"155"	"Biography,Drama,History"	7.4	1707
"17816"	"tt0018066"	"movie"	"The End of St. Petersburg"	"Konets Sankt-Peterburga"	0	1927	"\N"	"85"	"Drama"	7.5	1318
"17847"	"tt0018097"	"movie"	"London After Midnight"	"London After Midnight"	0	1927	"\N"	"69"	"Horror"	6.9	1103
"17940"	"tt0018192"	"movie"	"Napoleon"	"Napoléon vu par Abel Gance"	0	1927	"\N"	"240"	"Biography,Drama,History"	7.6	6203
"17965"	"tt0018217"	"movie"	"October (Ten Days that Shook the World)"	"Oktyabr"	0	1927	"\N"	"142"	"Drama,History"	7.5	6245
"18056"	"tt0018311"	"movie"	"The Red Mill"	"The Red Mill"	0	1927	"\N"	"74"	"Comedy,Romance"	7.8	1265
"18073"	"tt0018328"	"movie"	"The Ring"	"The Ring"	0	1927	"\N"	"116"	"Drama,Romance,Sport"	6.3	2849
"18123"	"tt0018379"	"movie"	"7th Heaven"	"7th Heaven"	0	1927	"\N"	"110"	"Drama,Romance"	7.8	2717
"18194"	"tt0018451"	"movie"	"The Student Prince in Old Heidelberg"	"The Student Prince in Old Heidelberg"	0	1927	"\N"	"106"	"Drama,Romance"	7.7	1222
"18198"	"tt0018455"	"movie"	"Sunrise"	"Sunrise: A Song of Two Humans"	0	1927	"\N"	"94"	"Drama,Romance"	8.2	42874
"18213"	"tt0018471"	"movie"	"Tell It to the Marines"	"Tell It to the Marines"	0	1926	"\N"	"103"	"Comedy,Drama,Romance"	7.9	1358
"18267"	"tt0018526"	"movie"	"Underworld"	"Underworld"	0	1927	"\N"	"80"	"Crime,Drama,Film-Noir"	7.7	2170
"18269"	"tt0018528"	"movie"	"The Unknown"	"The Unknown"	0	1927	"\N"	"63"	"Drama,Horror,Romance"	7.8	6384
"18319"	"tt0018578"	"movie"	"Wings"	"Wings"	0	1927	"\N"	"144"	"Action,Drama,Romance"	7.7	10051
"18476"	"tt0018737"	"movie"	"Pandora's Box"	"Die Büchse der Pandora"	0	1929	"\N"	"109"	"Crime,Drama,Romance"	8	8788
"18481"	"tt0018742"	"movie"	"The Cameraman"	"The Cameraman"	0	1928	"\N"	"69"	"Comedy,Drama,Family"	8.3	9154
"18495"	"tt0018756"	"movie"	"Champagne"	"Champagne"	0	1928	"\N"	"86"	"Comedy"	5.7	1742
"18509"	"tt0018770"	"movie"	"The Fall of the House of Usher"	"La chute de la maison Usher"	0	1928	"\N"	"63"	"Horror"	7.4	3004
"18512"	"tt0018773"	"movie"	"The Circus"	"The Circus"	0	1928	"\N"	"72"	"Comedy,Romance"	8.1	22740
"18545"	"tt0018806"	"movie"	"The Crowd"	"The Crowd"	0	1928	"\N"	"98"	"Drama,Romance"	8	6780
"18577"	"tt0018839"	"movie"	"The Docks of New York"	"The Docks of New York"	0	1928	"\N"	"76"	"Crime,Drama,Film-Noir"	7.7	3445
"18614"	"tt0018876"	"movie"	"The Farmer's Wife"	"The Farmer's Wife"	0	1928	"\N"	"100"	"Comedy,Drama,Romance"	6	2225
"18807"	"tt0019071"	"movie"	"The Last Command"	"The Last Command"	0	1928	"\N"	"88"	"Drama,History,Romance"	8	2899
"18810"	"tt0019074"	"movie"	"Laugh, Clown, Laugh"	"Laugh, Clown, Laugh"	0	1928	"\N"	"73"	"Drama"	7.7	1586
"18845"	"tt0019109"	"movie"	"Lonesome"	"Lonesome"	0	1928	"\N"	"69"	"Comedy,Drama,Romance"	8	1809
"18864"	"tt0019130"	"movie"	"The Man Who Laughs"	"The Man Who Laughs"	0	1928	"\N"	"110"	"Drama,Horror,Mystery"	7.8	4730
"18925"	"tt0019195"	"movie"	"The Mysterious Lady"	"The Mysterious Lady"	0	1928	"\N"	"96"	"Drama,Romance"	7.3	1086
"18966"	"tt0019237"	"movie"	"Our Dancing Daughters"	"Our Dancing Daughters"	0	1928	"\N"	"85"	"Drama"	7.3	1366
"18983"	"tt0019254"	"movie"	"The Passion of Joan of Arc"	"La passion de Jeanne d'Arc"	0	1928	"\N"	"110"	"Biography,Drama,History"	8.1	40186
"18987"	"tt0019258"	"movie"	"The Patsy"	"The Patsy"	0	1928	"\N"	"78"	"Comedy,Drama,Romance"	8.1	2206
"19015"	"tt0019286"	"movie"	"Storm Over Asia"	"Potomok Chingis-Khana"	0	1928	"\N"	"127"	"Drama,War"	7.3	1576
"19072"	"tt0019344"	"movie"	"Sadie Thompson"	"Sadie Thompson"	0	1928	"\N"	"97"	"Drama"	7.9	2372
"19107"	"tt0019379"	"movie"	"Show People"	"Show People"	0	1928	"\N"	"83"	"Comedy,Romance"	8.1	3240
"19139"	"tt0019412"	"movie"	"Speedy"	"Speedy"	0	1928	"\N"	"85"	"Action,Comedy,Family"	7.7	2846
"19142"	"tt0019415"	"movie"	"Spies"	"Spione"	0	1928	"\N"	"178"	"Romance,Thriller"	7.7	2774
"19148"	"tt0019421"	"movie"	"Steamboat Bill, Jr."	"Steamboat Bill, Jr."	0	1928	"\N"	"70"	"Action,Comedy,Drama"	8	11574
"19156"	"tt0019429"	"movie"	"Street Angel"	"Street Angel"	0	1928	"\N"	"102"	"Drama"	7.5	1925
"19283"	"tt0019558"	"movie"	"The Wedding March"	"The Wedding March"	0	1928	"\N"	"113"	"Drama"	7.6	1366
"19287"	"tt0019563"	"movie"	"West of Zanzibar"	"West of Zanzibar"	0	1928	"\N"	"65"	"Drama,Mystery"	7.3	1419
"19308"	"tt0019585"	"movie"	"The Wind"	"The Wind"	0	1928	"\N"	"95"	"Drama,Romance,Western"	8.3	5505
"19314"	"tt0019591"	"movie"	"A Woman of Affairs"	"A Woman of Affairs"	0	1928	"\N"	"98"	"Drama"	7.7	1271
"19367"	"tt0019644"	"movie"	"Applause"	"Applause"	0	1929	"\N"	"80"	"Drama,Musical"	7.3	1188
"19372"	"tt0019649"	"movie"	"Arsenal"	"Arsenal"	0	1929	"\N"	"90"	"Drama,War"	7.4	1516
"19378"	"tt0019655"	"movie"	"Asphalt"	"Asphalt"	0	1929	"\N"	"90"	"Drama"	7.6	1199
"19424"	"tt0019702"	"movie"	"Blackmail"	"Blackmail"	0	1929	"\N"	"85"	"Crime,Thriller"	7	8561
"19451"	"tt0019729"	"movie"	"The Broadway Melody"	"The Broadway Melody"	0	1929	"\N"	"100"	"Drama,Musical,Romance"	6.2	5698
"19482"	"tt0019760"	"movie"	"Man with a Movie Camera"	"Chelovek s kino-apparatom"	0	1929	"\N"	"68"	"Documentary,Music"	8.4	19663
"19499"	"tt0019777"	"movie"	"The Cocoanuts"	"The Cocoanuts"	0	1929	"\N"	"96"	"Comedy,Musical"	7.2	6400
"19510"	"tt0019788"	"movie"	"Coquette"	"Coquette"	0	1929	"\N"	"76"	"Drama,Romance"	7.1	1852
"19531"	"tt0019811"	"movie"	"Desert Nights"	"Desert Nights"	0	1929	"\N"	"62"	"Adventure,Drama,Romance"	8	1057
"19617"	"tt0019901"	"movie"	"Woman in the Moon"	"Frau im Mond"	0	1929	"\N"	"156"	"Comedy,Drama,Romance"	7.4	2541
"19674"	"tt0019959"	"movie"	"Hallelujah"	"Hallelujah"	0	1929	"\N"	"109"	"Drama,Musical"	6.9	1412
"19708"	"tt0019993"	"movie"	"The Hollywood Revue of 1929"	"The Hollywood Revue of 1929"	0	1929	"\N"	"130"	"Musical"	7.4	1673
"19744"	"tt0020030"	"movie"	"The Iron Mask"	"The Iron Mask"	0	1929	"\N"	"95"	"Adventure,Drama,History"	7.5	1053
"19825"	"tt0020112"	"movie"	"The Love Parade"	"The Love Parade"	0	1929	"\N"	"107"	"Comedy,Musical,Romance"	7.2	1752
"19835"	"tt0020122"	"movie"	"Lucky Star"	"Lucky Star"	0	1929	"\N"	"100"	"Drama,Romance"	7.9	1030
"19853"	"tt0020142"	"movie"	"The Manxman"	"The Manxman"	0	1929	"\N"	"110"	"Drama,Romance"	6.3	2330
"19854"	"tt0020143"	"movie"	"Marianne"	"Marianne"	0	1929	"\N"	"111"	"Drama,Musical,Romance"	8.1	1064
